station_id,day,weekday,day_month,available_bikes,mechanical,electrical,num_docks_available,name,lat,lon,altitude,address,post_code,capacity,Latlon,Barri,Districte
1,2019-10-19,6,19,6.152777777777778,5.972222222222222,0.18055555555555555,21.836805555555557,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801068999999997,16.0,"GRAN VIA CORTS CATALANES, 760",8013.0,46.0,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample
1,2019-10-20,7,20,14.302083333333334,14.166666666666666,0.13541666666666666,12.694444444444445,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801068999999997,16.0,"GRAN VIA CORTS CATALANES, 760",8013.0,46.0,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample
1,2019-10-21,1,21,13.645833333333334,13.305555555555555,0.3402777777777778,14.538194444444445,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801068999999997,16.0,"GRAN VIA CORTS CATALANES, 760",8013.0,46.0,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample
1,2019-10-22,2,22,13.225694444444445,13.01736111111111,0.20833333333333334,15.07638888888889,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801068999999997,16.0,"GRAN VIA CORTS CATALANES, 760",8013.0,46.0,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample
1,2019-10-23,3,23,13.23611111111111,13.027777777777779,0.20833333333333334,15.100694444444445,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801068999999997,16.0,"GRAN VIA CORTS CATALANES, 760",8013.0,46.0,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample
1,2019-10-24,4,24,14.600694444444445,14.34375,0.2569444444444444,14.378472222222221,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801068999999997,16.0,"GRAN VIA CORTS CATALANES, 760",8013.0,46.0,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample
1,2019-10-25,5,25,16.44097222222222,16.29513888888889,0.14583333333333334,12.152777777777779,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801068999999997,16.0,"GRAN VIA CORTS CATALANES, 760",8013.0,46.0,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample
1,2019-10-26,6,26,12.515679442508711,12.296167247386759,0.21951219512195122,15.480836236933797,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801068999999997,16.0,"GRAN VIA CORTS CATALANES, 760",8013.0,46.0,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample
1,2019-10-27,7,27,11.548736462093864,11.1985559566787,0.35018050541516244,16.451263537906136,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801068999999997,16.0,"GRAN VIA CORTS CATALANES, 760",8013.0,46.0,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample
1,2019-10-28,1,28,15.20138888888889,14.993055555555555,0.20833333333333334,13.385416666666666,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801068999999997,16.0,"GRAN VIA CORTS CATALANES, 760",8013.0,46.0,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample
1,2019-10-29,2,29,16.447916666666668,16.22222222222222,0.22569444444444445,13.04513888888889,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801068999999997,16.0,"GRAN VIA CORTS CATALANES, 760",8013.0,46.0,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample
1,2019-10-30,3,30,14.600694444444445,14.552083333333334,0.04861111111111111,15.399305555555555,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801068999999997,16.0,"GRAN VIA CORTS CATALANES, 760",8013.0,46.0,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample
1,2019-10-31,4,31,14.196363636363637,14.076363636363636,0.12,15.781818181818181,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801068999999997,16.0,"GRAN VIA CORTS CATALANES, 760",8013.0,46.0,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample
2,2019-10-01,2,1,5.541666666666667,5.395833333333333,0.14583333333333334,20.9375,"C/ ROGER DE FLOR, 126",41.395487700000004,2.1771985000000003,17.0,"C/ ROGER DE FLOR, 126",8013.0,27.0,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample
2,2019-10-02,3,2,3.8819444444444446,3.78125,0.10069444444444445,22.09027777777778,"C/ ROGER DE FLOR, 126",41.395487700000004,2.1771985000000003,17.0,"C/ ROGER DE FLOR, 126",8013.0,27.0,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample
2,2019-10-03,4,3,12.8125,12.628472222222221,0.1840277777777778,13.350694444444445,"C/ ROGER DE FLOR, 126",41.395487700000004,2.1771985000000003,17.0,"C/ ROGER DE FLOR, 126",8013.0,27.0,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample
2,2019-10-04,5,4,9.23263888888889,9.04513888888889,0.1875,16.677083333333332,"C/ ROGER DE FLOR, 126",41.395487700000004,2.1771985000000003,17.0,"C/ ROGER DE FLOR, 126",8013.0,27.0,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample
2,2019-10-05,6,5,9.21602787456446,8.494773519163763,0.7212543554006968,15.285714285714286,"C/ ROGER DE FLOR, 126",41.395487700000004,2.1771985000000003,17.0,"C/ ROGER DE FLOR, 126",8013.0,27.0,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample
2,2019-10-06,7,6,5.802083333333333,5.486111111111111,0.3159722222222222,18.729166666666668,"C/ ROGER DE FLOR, 126",41.395487700000004,2.1771985000000003,17.0,"C/ ROGER DE FLOR, 126",8013.0,27.0,"41.395487700000004,2.1771985000000003",el Fort Pienc,Eixample
